in:19 out:20 type:b q:22.37 q-aq:21.50 q-noVbv:22.37 q-Rceq:1.08 tex:840 mv:1197 misc:1252 icu:0.00 pcu:165.50 scu:3434.50 sc:0 ;
in:25 out:21 type:P q:15.61 q-aq:8.72 q-noVbv:15.61 q-Rceq:1.08 tex:73829 mv:7588 misc:2753 icu:266.50 pcu:353.00 scu:2980.50 sc:0 ;
in:23 out:22 type:B q:17.90 q-aq:16.87 q-noVbv:17.90 q-Rceq:1.08 tex:9537 mv:3568 misc:1862 icu:0.00 pcu:544.00 scu:3056.00 sc:0 ;
in:21 out:23 type:b q:20.19 q-aq:19.44 q-noVbv:20.19 q-Rceq:1.08 tex:2329 mv:1644 misc:1235 icu:0.00 pcu:376.50 scu:3223.50 sc:0 ;
in:22 out:24 type:b q:19.61 q-aq:18.91 q-noVbv:19.61 q-Rceq:1.08 tex:4659 mv:2394 misc:1566 icu:0.00 pcu:527.25 scu:3072.75 sc:0 ;
in:24 out:25 type:b q:18.46 q-aq:17.08 q-noVbv:18.46 q-Rceq:1.08 tex:3273 mv:1262 misc:1269 icu:0.00 pcu:373.25 scu:3226.75 sc:0 ;
in:30 out:26 type:P q:13.84 q-aq:6.79 q-noVbv:13.84 q-Rceq:1.08 tex:81264 mv:8993 misc:3015 icu:275.75 pcu:417.50 scu:2906.75 sc:0 ;
in:28 out:27 type:B q:15.69 q-aq:14.84 q-noVbv:15.69 q-Rceq:1.08 tex:15849 mv:4333 misc:2014 icu:0.00 pcu:507.25 scu:3092.75 sc:0 ;
in:26 out:28 type:b q:17.53 q-aq:17.26 q-noVbv:17.53 q-Rceq:1.08 tex:4730 mv:2043 misc:1385 icu:0.00 pcu:410.25 scu:3189.75 sc:0 ;
in:27 out:29 type:b q:17.17 q-aq:16.08 q-noVbv:17.17 q-Rceq:1.08 tex:6816 mv:3371 misc:1784 icu:0.00 pcu:478.00 scu:3122.00 sc:0 ;
in:29 out:30 type:b q:16.47 q-aq:15.48 q-noVbv:16.47 q-Rceq:1.08 tex:1790 mv:1397 misc:1240 icu:0.00 pcu:156.75 scu:3443.25 sc:0 ;
in:35 out:31 type:P q:12.46 q-aq:7.04 q-noVbv:12.46 q-Rceq:1.08 tex:80937 mv:8436 misc:2739 icu:239.50 pcu:341.75 scu:3018.75 sc:0 ;
in:33 out:32 type:B q:14.15 q-aq:13.14 q-noVbv:14.15 q-Rceq:1.08 tex:22948 mv:5108 misc:2087 icu:0.00 pcu:527.00 scu:3073.00 sc:0 ;
in:31 out:33 type:b q:15.84 q-aq:15.36 q-noVbv:15.84 q-Rceq:1.08 tex:6366 mv:2730 misc:1608 icu:0.00 pcu:416.75 scu:3183.25 sc:0 ;
in:32 out:34 type:b q:15.56 q-aq:14.72 q-noVbv:15.56 q-Rceq:1.08 tex:8032 mv:2573 misc:1626 icu:0.00 pcu:402.75 scu:3197.25 sc:0 ;
in:34 out:35 type:b q:15.00 q-aq:14.06 q-noVbv:15.00 q-Rceq:1.08 tex:5983 mv:1815 misc:1489 icu:0.00 pcu:321.50 scu:3278.50 sc:0 ;
in:40 out:36 type:P q:11.45 q-aq:4.68 q-noVbv:11.45 q-Rceq:1.08 tex:84973 mv:8491 misc:2845 icu:216.50 pcu:399.75 scu:2983.75 sc:0 ;
in:38 out:37 type:B q:12.99 q-aq:12.35 q-noVbv:12.99 q-Rceq:1.08 tex:22727 mv:4821 misc:2064 icu:0.00 pcu:522.75 scu:3077.25 sc:0 ;
in:36 out:38 type:b q:14.53 q-aq:13.92 q-noVbv:14.53 q-Rceq:1.08 tex:23795 mv:4418 misc:2002 icu:0.00 pcu:535.75 scu:3064.25 sc:0 ;
in:37 out:39 type:b q:14.32 q-aq:13.16 q-noVbv:14.32 q-Rceq:1.08 tex:18701 mv:4421 misc:2024 icu:0.00 pcu:554.00 scu:3046.00 sc:0 ;
in:39 out:40 type:b q:13.92 q-aq:13.34 q-noVbv:13.92 q-Rceq:1.08 tex:20937 mv:4057 misc:1955 icu:0.00 pcu:484.50 scu:3115.50 sc:0 ;
in:45 out:41 type:P q:10.74 q-aq:6.14 q-noVbv:10.74 q-Rceq:1.08 tex:88846 mv:8477 misc:2323 icu:231.50 pcu:330.75 scu:3037.75 sc:0 ;
in:43 out:42 type:B q:12.16 q-aq:11.16 q-noVbv:12.16 q-Rceq:1.08 tex:35065 mv:5784 misc:2092 icu:0.00 pcu:588.00 scu:3012.00 sc:0 ;
in:41 out:43 type:b q:13.58 q-aq:13.15 q-noVbv:13.58 q-Rceq:1.08 tex:13430 mv:3488 misc:1847 icu:0.00 pcu:531.00 scu:3069.00 sc:0 ;
in:42 out:44 type:b q:13.44 q-aq:12.34 q-noVbv:13.44 q-Rceq:1.08 tex:18231 mv:3819 misc:1883 icu:0.00 pcu:556.75 scu:3043.25 sc:0 ;
in:44 out:45 type:b q:13.16 q-aq:12.43 q-noVbv:13.16 q-Rceq:1.08 tex:2220 mv:1350 misc:1268 icu:0.00 pcu:120.50 scu:3479.50 sc:0 ;
in:50 out:46 type:P q:10.52 q-aq:8.29 q-noVbv:10.52 q-Rceq:1.08 tex:66440 mv:6129 misc:2382 icu:163.75 pcu:386.25 scu:3050.00 sc:0 ;
in:48 out:47 type:B q:11.75 q-aq:11.20 q-noVbv:11.75 q-Rceq:1.08 tex:36439 mv:5550 misc:2075 icu:0.00 pcu:538.25 scu:3061.75 sc:0 ;
in:46 out:48 type:b q:12.97 q-aq:12.23 q-noVbv:12.97 q-Rceq:1.08 tex:24519 mv:4531 misc:2011 icu:0.00 pcu:571.75 scu:3028.25 sc:0 ;
in:47 out:49 type:b q:12.93 q-aq:12.28 q-noVbv:12.93 q-Rceq:1.08 tex:5557 mv:2128 misc:1465 icu:0.00 pcu:312.50 scu:3287.50 sc:0 ;
in:49 out:50 type:b q:12.84 q-aq:12.38 q-noVbv:12.84 q-Rceq:1.08 tex:2581 mv:1363 misc:1312 icu:0.00 pcu:113.25 scu:3486.75 sc:0 ;
in:55 out:51 type:P q:9.96 q-aq:2.97 q-noVbv:9.96 q-Rceq:1.08 tex:100574 mv:7231 misc:2549 icu:242.00 pcu:1138.00 scu:2220.00 sc:0 ;
in:53 out:52 type:B q:11.32 q-aq:9.98 q-noVbv:11.32 q-Rceq:1.08 tex:37247 mv:5469 misc:2287 icu:0.00 pcu:553.00 scu:3047.00 sc:0 ;
in:51 out:53 type:b q:12.68 q-aq:11.96 q-noVbv:12.68 q-Rceq:1.08 tex:14912 mv:3996 misc:2115 icu:0.00 pcu:480.75 scu:3119.25 sc:0 ;
in:52 out:54 type:b q:12.57 q-aq:11.80 q-noVbv:12.57 q-Rceq:1.08 tex:25614 mv:4630 misc:2075 icu:0.00 pcu:584.75 scu:3015.25 sc:0 ;
in:54 out:55 type:b q:12.34 q-aq:11.00 q-noVbv:12.34 q-Rceq:1.08 tex:9032 mv:2486 misc:1811 icu:0.00 pcu:338.00 scu:3262.00 sc:0 ;
in:60 out:56 type:P q:9.63 q-aq:5.99 q-noVbv:9.63 q-Rceq:1.08 tex:98048 mv:7980 misc:2183 icu:284.75 pcu:500.50 scu:2814.75 sc:0 ;
in:58 out:57 type:B q:10.90 q-aq:10.05 q-noVbv:10.90 q-Rceq:1.08 tex:39472 mv:5432 misc:1949 icu:0.00 pcu:559.50 scu:3040.50 sc:0 ;
in:56 out:58 type:b q:12.17 q-aq:11.16 q-noVbv:12.17 q-Rceq:1.08 tex:17452 mv:3231 misc:1765 icu:0.00 pcu:589.00 scu:3011.00 sc:0 ;
in:57 out:59 type:b q:12.10 q-aq:11.01 q-noVbv:12.10 q-Rceq:1.08 tex:19771 mv:3911 misc:1955 icu:0.00 pcu:544.50 scu:3055.50 sc:0 ;
in:59 out:60 type:b q:11.97 q-aq:11.22 q-noVbv:11.97 q-Rceq:1.08 tex:2714 mv:1548 misc:1291 icu:0.00 pcu:214.50 scu:3385.50 sc:0 ;
in:65 out:61 type:P q:9.42 q-aq:6.67 q-noVbv:9.42 q-Rceq:1.08 tex:98196 mv:7582 misc:1979 icu:232.00 pcu:381.00 scu:2987.00 sc:0 ;
in:63 out:62 type:B q:10.64 q-aq:10.29 q-noVbv:10.64 q-Rceq:1.08 tex:42512 mv:5112 misc:1961 icu:0.00 pcu:513.25 scu:3086.75 sc:0 ;
in:61 out:63 type:b q:11.86 q-aq:11.01 q-noVbv:11.86 q-Rceq:1.08 tex:17981 mv:4034 misc:1999 icu:0.00 pcu:515.75 scu:3084.25 sc:0 ;
in:62 out:64 type:b q:11.82 q-aq:11.02 q-noVbv:11.82 q-Rceq:1.08 tex:11832 mv:3097 misc:1766 icu:0.00 pcu:392.25 scu:3207.75 sc:0 ;
in:64 out:65 type:b q:11.73 q-aq:11.31 q-noVbv:11.73 q-Rceq:1.08 tex:12915 mv:2127 misc:1495 icu:0.00 pcu:363.25 scu:3236.75 sc:0 ;
in:70 out:66 type:P q:9.17 q-aq:5.61 q-noVbv:9.17 q-Rceq:1.08 tex:103799 mv:8261 misc:2136 icu:241.25 pcu:370.75 scu:2988.00 sc:0 ;
in:68 out:67 type:B q:10.41 q-aq:9.24 q-noVbv:10.41 q-Rceq:1.08 tex:41126 mv:4475 misc:1844 icu:0.00 pcu:593.75 scu:3006.25 sc:0 ;
in:66 out:68 type:b q:11.64 q-aq:11.05 q-noVbv:11.64 q-Rceq:1.08 tex:14733 mv:3066 misc:1841 icu:0.00 pcu:362.25 scu:3237.75 sc:0 ;
in:67 out:69 type:b q:11.59 q-aq:11.28 q-noVbv:11.59 q-Rceq:1.08 tex:21268 mv:4030 misc:1971 icu:0.00 pcu:472.50 scu:3127.50 sc:0 ;
in:69 out:70 type:b q:11.49 q-aq:10.24 q-noVbv:11.49 q-Rceq:1.08 tex:2598 mv:1286 misc:1237 icu:0.00 pcu:153.25 scu:3446.75 sc:0 ;
in:75 out:71 type:P q:8.97 q-aq:5.42 q-noVbv:8.97 q-Rceq:1.08 tex:105933 mv:7485 misc:2043 icu:235.50 pcu:331.75 scu:3032.75 sc:0 ;
in:73 out:72 type:B q:10.19 q-aq:9.07 q-noVbv:10.19 q-Rceq:1.08 tex:46464 mv:5793 misc:2052 icu:0.00 pcu:512.00 scu:3088.00 sc:0 ;
in:71 out:73 type:b q:11.40 q-aq:10.16 q-noVbv:11.40 q-Rceq:1.08 tex:22016 mv:3840 misc:1913 icu:0.00 pcu:528.25 scu:3071.75 sc:0 ;
in:72 out:74 type:b q:11.36 q-aq:10.16 q-noVbv:11.36 q-Rceq:1.08 tex:18644 mv:3396 misc:1916 icu:0.00 pcu:530.00 scu:3070.00 sc:0 ;
in:74 out:75 type:b q:11.28 q-aq:10.15 q-noVbv:11.28 q-Rceq:1.08 tex:10386 mv:2278 misc:1605 icu:0.00 pcu:351.50 scu:3248.50 sc:0 ;
in:80 out:76 type:P q:8.80 q-aq:6.05 q-noVbv:8.80 q-Rceq:1.08 tex:110323 mv:7537 misc:1970 icu:274.75 pcu:301.50 scu:3023.75 sc:0 ;
in:78 out:77 type:B q:10.00 q-aq:9.05 q-noVbv:10.00 q-Rceq:1.08 tex:49348 mv:6010 misc:2003 icu:0.00 pcu:501.50 scu:3098.50 sc:0 ;
in:76 out:78 type:b q:11.21 q-aq:10.08 q-noVbv:11.21 q-Rceq:1.08 tex:16405 mv:3657 misc:1820 icu:0.00 pcu:447.25 scu:3152.75 sc:0 ;
in:77 out:79 type:b q:11.17 q-aq:10.37 q-noVbv:11.17 q-Rceq:1.08 tex:20184 mv:4165 misc:1991 icu:0.00 pcu:426.75 scu:3173.25 sc:0 ;
in:79 out:80 type:b q:11.10 q-aq:10.31 q-noVbv:11.10 q-Rceq:1.08 tex:4057 mv:1651 misc:1335 icu:0.00 pcu:153.50 scu:3446.50 sc:0 ;
in:85 out:81 type:P q:8.72 q-aq:6.69 q-noVbv:8.72 q-Rceq:1.08 tex:108175 mv:7966 misc:1891 icu:232.75 pcu:296.25 scu:3071.00 sc:0 ;
in:83 out:82 type:B q:9.88 q-aq:9.34 q-noVbv:9.88 q-Rceq:1.08 tex:48271 mv:5863 misc:1948 icu:0.00 pcu:523.00 scu:3077.00 sc:0 ;
in:81 out:83 type:b q:11.05 q-aq:10.35 q-noVbv:11.05 q-Rceq:1.08 tex:24545 mv:4557 misc:2032 icu:0.00 pcu:455.75 scu:3144.25 sc:0 ;
in:82 out:84 type:b q:11.04 q-aq:10.38 q-noVbv:11.04 q-Rceq:1.08 tex:16410 mv:3513 misc:1837 icu:0.00 pcu:334.00 scu:3266.00 sc:0 ;
in:84 out:85 type:b q:11.00 q-aq:10.35 q-noVbv:11.00 q-Rceq:1.08 tex:13911 mv:3048 misc:1743 icu:0.00 pcu:362.00 scu:3238.00 sc:0 ;
in:90 out:86 type:P q:8.58 q-aq:6.21 q-noVbv:8.58 q-Rceq:1.08 tex:108350 mv:7725 misc:2087 icu:231.75 pcu:305.50 scu:3062.75 sc:0 ;
in:88 out:87 type:B q:9.77 q-aq:9.15 q-noVbv:9.77 q-Rceq:1.08 tex:43045 mv:4671 misc:1846 icu:0.00 pcu:612.50 scu:2987.50 sc:0 ;
in:86 out:88 type:b q:10.96 q-aq:10.37 q-noVbv:10.96 q-Rceq:1.08 tex:14074 mv:2901 misc:1673 icu:0.00 pcu:290.75 scu:3309.25 sc:0 ;
in:87 out:89 type:b q:10.93 q-aq:10.12 q-noVbv:10.93 q-Rceq:1.08 tex:22714 mv:4449 misc:1933 icu:0.00 pcu:536.25 scu:3063.75 sc:0 ;
in:89 out:90 type:b q:10.88 q-aq:10.41 q-noVbv:10.88 q-Rceq:1.08 tex:4051 mv:1804 misc:1396 icu:0.00 pcu:187.50 scu:3412.50 sc:0 ;
in:95 out:91 type:P q:8.50 q-aq:5.58 q-noVbv:8.50 q-Rceq:1.08 tex:106285 mv:7010 misc:1958 icu:230.75 pcu:384.75 scu:2984.50 sc:0 ;
in:93 out:92 type:B q:9.67 q-aq:9.00 q-noVbv:9.67 q-Rceq:1.08 tex:49980 mv:5686 misc:1948 icu:0.00 pcu:569.00 scu:3031.00 sc:0 ;
in:91 out:93 type:b q:10.84 q-aq:10.05 q-noVbv:10.84 q-Rceq:1.08 tex:21435 mv:3697 misc:1935 icu:0.00 pcu:495.50 scu:3104.50 sc:0 ;
in:92 out:94 type:b q:10.82 q-aq:10.04 q-noVbv:10.82 q-Rceq:1.08 tex:24170 mv:4147 misc:2023 icu:0.00 pcu:537.25 scu:3062.75 sc:0 ;
in:94 out:95 type:b q:10.79 q-aq:10.14 q-noVbv:10.79 q-Rceq:1.08 tex:9970 mv:2251 misc:1566 icu:0.00 pcu:299.25 scu:3300.75 sc:0 ;
in:100 out:96 type:P q:8.37 q-aq:5.99 q-noVbv:8.37 q-Rceq:1.08 tex:115650 mv:7170 misc:1830 icu:251.50 pcu:286.00 scu:3062.50 sc:0 ;
in:98 out:97 type:B q:9.56 q-aq:9.03 q-noVbv:9.56 q-Rceq:1.08 tex:48972 mv:5743 misc:1992 icu:0.00 pcu:502.00 scu:3098.00 sc:0 ;
in:96 out:98 type:b q:10.74 q-aq:10.13 q-noVbv:10.74 q-Rceq:1.08 tex:16624 mv:3623 misc:1922 icu:0.00 pcu:426.25 scu:3173.75 sc:0 ;
in:97 out:99 type:b q:10.72 q-aq:10.24 q-noVbv:10.72 q-Rceq:1.08 tex:19989 mv:3539 misc:1845 icu:0.00 pcu:410.00 scu:3190.00 sc:0 ;
in:99 out:100 type:b q:10.67 q-aq:10.36 q-noVbv:10.67 q-Rceq:1.08 tex:3993 mv:1458 misc:1284 icu:0.00 pcu:153.50 scu:3446.50 sc:0 ;
in:105 out:101 type:P q:8.34 q-aq:6.12 q-noVbv:8.34 q-Rceq:1.08 tex:111995 mv:7415 misc:1876 icu:221.25 pcu:349.25 scu:3029.50 sc:0 ;
in:103 out:102 type:B q:9.49 q-aq:8.43 q-noVbv:9.49 q-Rceq:1.08 tex:48165 mv:5379 misc:1987 icu:0.00 pcu:490.50 scu:3109.50 sc:0 ;
in:101 out:103 type:b q:10.64 q-aq:10.26 q-noVbv:10.64 q-Rceq:1.08 tex:28352 mv:4277 misc:1867 icu:0.00 pcu:513.25 scu:3086.75 sc:0 ;
in:102 out:104 type:b q:10.63 q-aq:9.90 q-noVbv:10.63 q-Rceq:1.08 tex:13070 mv:2948 misc:1823 icu:0.00 pcu:355.75 scu:3244.25 sc:0 ;
in:104 out:105 type:b q:10.62 q-aq:10.25 q-noVbv:10.62 q-Rceq:1.08 tex:14548 mv:2792 misc:1680 icu:0.00 pcu:329.00 scu:3271.00 sc:0 ;
in:110 out:106 type:P q:8.23 q-aq:5.51 q-noVbv:8.23 q-Rceq:1.08 tex:102378 mv:7528 misc:2006 icu:191.25 pcu:354.50 scu:3054.25 sc:0 ;
in:108 out:107 type:B q:9.41 q-aq:8.16 q-noVbv:9.41 q-Rceq:1.08 tex:47423 mv:5158 misc:1947 icu:0.00 pcu:532.25 scu:3067.75 sc:0 ;
in:106 out:108 type:b q:10.59 q-aq:9.97 q-noVbv:10.59 q-Rceq:1.08 tex:16170 mv:3024 misc:1790 icu:0.00 pcu:362.00 scu:3238.00 sc:0 ;
in:107 out:109 type:b q:10.57 q-aq:10.25 q-noVbv:10.57 q-Rceq:1.08 tex:26076 mv:4506 misc:2086 icu:0.00 pcu:459.00 scu:3141.00 sc:0 ;
in:109 out:110 type:b q:10.53 q-aq:10.16 q-noVbv:10.53 q-Rceq:1.08 tex:3838 mv:1419 misc:1267 icu:0.00 pcu:123.00 scu:3477.00 sc:0 ;
in:115 out:111 type:P q:8.16 q-aq:6.10 q-noVbv:8.16 q-Rceq:1.08 tex:110201 mv:7686 misc:2006 icu:221.25 pcu:340.50 scu:3038.25 sc:0 ;
in:113 out:112 type:B q:9.32 q-aq:8.11 q-noVbv:9.32 q-Rceq:1.08 tex:51909 mv:5372 misc:1892 icu:0.00 pcu:562.50 scu:3037.50 sc:0 ;
in:111 out:113 type:b q:10.49 q-aq:9.31 q-noVbv:10.49 q-Rceq:1.08 tex:29014 mv:4475 misc:1939 icu:0.00 pcu:503.50 scu:3096.50 sc:0 ;
in:112 out:114 type:b q:10.47 q-aq:9.32 q-noVbv:10.47 q-Rceq:1.08 tex:21695 mv:3256 misc:1854 icu:0.00 pcu:437.75 scu:3162.25 sc:0 ;
in:114 out:115 type:b q:10.44 q-aq:9.34 q-noVbv:10.44 q-Rceq:1.08 tex:12722 mv:2642 misc:1741 icu:0.00 pcu:314.00 scu:3286.00 sc:0 ;
in:119 out:116 type:P q:8.08 q-aq:6.84 q-noVbv:8.08 q-Rceq:1.08 tex:63029 mv:5773 misc:2110 icu:139.75 pcu:413.75 scu:3046.50 sc:0 ;
in:117 out:117 type:B q:9.25 q-aq:7.53 q-noVbv:9.25 q-Rceq:1.08 tex:53704 mv:5323 misc:1935 icu:0.00 pcu:577.75 scu:3022.25 sc:0 ;
in:116 out:118 type:b q:10.41 q-aq:9.08 q-noVbv:10.41 q-Rceq:1.08 tex:25352 mv:3764 misc:1828 icu:0.00 pcu:468.50 scu:3131.50 sc:0 ;
in:118 out:119 type:b q:10.37 q-aq:9.02 q-noVbv:10.37 q-Rceq:1.08 tex:20679 mv:3933 misc:1947 icu:0.00 pcu:395.25 scu:3204.75 sc:0 ;
